resume_id,unstructured_text,job_role,skills,education,experience_years
1,"Timeline: Dec 2021 - Jun 2023
During my recent role, I optimized inference pipelines in production and also handled model monitoring systems.
Self-taught in several modern tools.
Background includes both technical and business responsibilities.
Participated in hackathons and tech events.
Education includes MBA HR.",ML Engineer,"Python, TensorFlow, PyTorch, APIs, Docker",MBA HR,1.5
2,"During my recent role, I built REST APIs for internal tools and also developed backend services for web applications.
Open to relocation and remote work.
Open to relocation and remote work.
Started career in a junior role and gradually took more ownership.
Timeline: Dec 2020 - May 2022
Education includes BCom.",Software Engineer,"Java, Python, C++, DBMS, Web Programming",BCom,1.42
3,"During my recent role, I worked on content performance analysis and also handled SEO reporting for campaigns.
Education includes MTech AI.
Experience includes working with multiple teams.
Worked in a fast-paced startup environment.
Took a short career break for personal reasons.
Timeline: Jun 2018 - Feb 2020",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",MTech AI,1.67
4,"Education includes MSc Analytics.
During my recent role, I built predictive models for customer churn and also worked on A/B testing for business decisions.
Worked in a fast-paced startup environment.
Self-taught in several modern tools.
Timeline: Aug 2021 - Apr 2023
Experience includes working with multiple teams.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning",MSc Analytics,1.67
5,"Worked part-time while studying.
During my recent role, I deployed ML models as REST APIs and also worked with TensorFlow and PyTorch frameworks.
Experience includes working with multiple teams.
Participated in hackathons and tech events.
Timeline: Jul 2017 - Sep 2021
Education includes MBA HR.",ML Engineer,"Python, TensorFlow, PyTorch, APIs, Docker",MBA HR,4.17
6,"Timeline: Sep 2017 - Jul 2018
Participated in hackathons and tech events.
Started career in a junior role and gradually took more ownership.
Education includes MSc Analytics.
Worked in a fast-paced startup environment.
During my recent role, I created audience insights reports and also analyzed social media engagement.",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",MSc Analytics,0.83
7,"During my recent role, I built REST APIs for internal tools and also implemented core business logic.
Open to relocation and remote work.
Education includes MBA HR.
Timeline: Jan 2021 - Sep 2021
Recently transitioned into a more analytical role.
Worked in a fast-paced startup environment.",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MBA HR,0.67
8,"Education includes MA Media Studies.
During my recent role, I created audience insights reports and also worked on content performance analysis.
Started career in a junior role and gradually took more ownership.
Freelanced on multiple short-term projects.
Worked in a fast-paced startup environment.
Timeline: Jul 2017 - Jun 2019",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",MA Media Studies,1.92
9,"During my recent role, I analyzed revenue and cost data and also worked on budgeting and forecasting.
Experience includes working with multiple teams.
Timeline: Dec 2018 - Jun 2020
Worked part-time while studying.
Self-taught in several modern tools.
Education includes MTech AI.",Finance Analyst,"Excel, Accounting, Financial Modeling, SQL",MTech AI,1.5
10,"Worked in a fast-paced startup environment.
During my recent role, I performed feature engineering on large datasets and also created forecasting pipelines.
Timeline: Apr 2020 - Apr 2024
Took a short career break for personal reasons.
Education includes BBA.
Experience includes working with multiple teams.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning",BBA,4.0
11,"Timeline: Aug 2021 - Dec 2024
Background includes both technical and business responsibilities.
Worked part-time while studying.
Education includes MSc Analytics.
Worked part-time while studying.
During my recent role, I worked with microservices architecture and also implemented core business logic.",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MSc Analytics,3.33
12,"Timeline: Nov 2020 - Jun 2023
Worked part-time while studying.
During my recent role, I built predictive models for customer churn and also created forecasting pipelines.
Participated in hackathons and tech events.
Hands-on professional with experience across different projects.
Education includes MTech AI.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning",MTech AI,2.58
13,"Timeline: Aug 2018 - Dec 2021
During my recent role, I maintained employee records and also handled recruitment pipelines for multiple teams.
Education includes BBA.
Worked in a fast-paced startup environment.
Participated in hackathons and tech events.
Experience includes working with multiple teams.",HR Executive,"Recruitment, Communication, Onboarding, Excel",BBA,3.33
14,"Participated in hackathons and tech events.
During my recent role, I implemented core business logic and also worked with microservices architecture.
Timeline: Aug 2019 - Dec 2021
Education includes MBA HR.
Background includes both technical and business responsibilities.
Open to relocation and remote work.",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MBA HR,2.33
15,"Timeline: Jan 2019 - Feb 2023
Started career in a junior role and gradually took more ownership.
Worked part-time while studying.
Worked part-time while studying.
During my recent role, I worked on A/B testing for business decisions and also performed feature engineering on large datasets.
Education includes BTech CSE.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning",BTech CSE,4.08
16,"Education includes MSc Analytics.
Timeline: May 2018 - Sep 2020
Worked part-time while studying.
During my recent role, I developed backend services for web applications and also implemented core business logic.
Experience includes working with multiple teams.
Open to relocation and remote work.",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MSc Analytics,2.33
17,"Worked part-time while studying.
During my recent role, I worked on content performance analysis and also created audience insights reports.
Recently transitioned into a more analytical role.
Education includes MSc Analytics.
Timeline: Dec 2019 - Jan 2023
Worked part-time while studying.",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",MSc Analytics,3.08
18,"Took a short career break for personal reasons.
Timeline: Nov 2019 - Apr 2024
Self-taught in several modern tools.
Education includes BTech CSE.
Recently transitioned into a more analytical role.
During my recent role, I maintained employee records and also managed onboarding processes.",HR Executive,"Recruitment, Communication, Onboarding, Excel",BTech CSE,4.42
19,"During my recent role, I created audience insights reports and also analyzed social media engagement.
Timeline: Dec 2017 - Apr 2021
Worked in a fast-paced startup environment.
Handled cross-functional responsibilities.
Education includes MA Media Studies.
Background includes both technical and business responsibilities.",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",MA Media Studies,3.33
20,"Started career in a junior role and gradually took more ownership.
Took a short career break for personal reasons.
Education includes BCom.
Timeline: Nov 2021 - Sep 2023
Worked in a fast-paced startup environment.
During my recent role, I managed onboarding processes and also screened candidates and scheduled interviews.",HR Executive,"Recruitment, Communication, Onboarding, Excel",BCom,1.83
21,"Open to relocation and remote work.
Timeline: Aug 2017 - Oct 2021
Worked in a fast-paced startup environment.
Education includes MTech AI.
Started career in a junior role and gradually took more ownership.
During my recent role, I prepared financial reports for management and also created financial dashboards.",Finance Analyst,"Excel, Accounting, Financial Modeling, SQL",MTech AI,4.17
22,"Freelanced on multiple short-term projects.
Timeline: Dec 2017 - Jan 2022
Experience includes working with multiple teams.
Education includes MBA HR.
Handled cross-functional responsibilities.
During my recent role, I built predictive models for customer churn and also worked on A/B testing for business decisions.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning",MBA HR,4.08
