resume_id,unstructured_text,job_role,skills,education,experience_years
1,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Sep 2017 and Apr 2020, responsibilities spanned across various projects and operational activities.
Worked closely with sales and operations teams to respond to ad-hoc data requests and performance questions.

Supported sales forecasting and planning activities by working with historical data and CRM-generated reports.

Handled multiple responsibilities beyond the primary role as needed.

Project Exposure
Supported sales forecasting and planning activities by working with historical data and CRM-generated reports.
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.

Education
Completed MBA Sales from a recognized institution with a focus on continuous learning.

Additional Information
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.",Sales Analyst,"Excel, Sales Analytics, CRM, SQL, Reporting",MBA Sales,2.58
2,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Jun 2019 and Jul 2020, responsibilities spanned across various projects and operational activities.
Developed and maintained backend components for internal and customer-facing applications. Responsibilities included working with databases, implementing APIs, and ensuring system stability under varying load conditions.

Participated in design discussions and contributed to implementation of business logic across multiple services. Work involved debugging production issues, improving performance, and ensuring reliability of deployed systems.

Supported cross-functional teams during peak business cycles.

Project Exposure
Participated in design discussions and contributed to implementation of business logic across multiple services. Work involved debugging production issues, improving performance, and ensuring reliability of deployed systems.
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.

Education
Completed MCA from a recognized institution with a focus on continuous learning.

Additional Information
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.",Software Engineer,"Java, Python, C++, DBMS, Web Programming, APIs",MCA,1.08
3,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Jun 2018 and May 2020, responsibilities spanned across various projects and operational activities.
Reviewed sales performance data across regions and product lines to identify trends and opportunities. Assisted leadership teams by preparing structured summaries and dashboards.

Worked closely with sales and operations teams to respond to ad-hoc data requests and performance questions.

Supported cross-functional teams during peak business cycles.

Project Exposure
Worked closely with sales and operations teams to respond to ad-hoc data requests and performance questions.
Worked in fast-paced environments with shifting priorities and changing requirements.

Education
Completed BCom from a recognized institution with a focus on continuous learning.

Additional Information
Worked in fast-paced environments with shifting priorities and changing requirements.",Sales Analyst,"Excel, Sales Analytics, CRM, SQL, Reporting",BCom,1.92
4,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Oct 2015 and Jul 2020, responsibilities spanned across various projects and operational activities.
Worked closely with hiring managers to understand role requirements and provide updates on recruitment progress, while also handling ad-hoc HR operational tasks.

Supported onboarding activities, documentation, and compliance-related tasks for new joiners. Assisted senior HR members in maintaining employee records and preparing workforce-related summaries.

Handled multiple responsibilities beyond the primary role as needed.

Project Exposure
Worked closely with hiring managers to understand role requirements and provide updates on recruitment progress, while also handling ad-hoc HR operational tasks.
Supported cross-functional teams during peak business cycles.

Education
Completed BBA from a recognized institution with a focus on continuous learning.

Additional Information
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.",HR Executive,"Recruitment, Communication, Onboarding, Excel, HR Operations",BBA,4.75
5,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Apr 2018 and Jan 2024, responsibilities spanned across various projects and operational activities.
Involved in end-to-end analytical workflows starting from raw data ingestion, cleaning, transformation, feature engineering, model experimentation, evaluation, and reporting of outcomes to senior teams. Focused heavily on understanding precision, recall, and stability of analytical outputs over time.

Worked extensively on analytics-driven initiatives involving large volumes of structured and unstructured data coming from enterprise systems and external sources. Responsibilities included experimentation with multiple statistical and machine learning approaches to surface hidden patterns, trends, and anomalies relevant for business stakeholders.

Participated in discussions around process improvements and operational efficiency.

Project Exposure
Worked extensively on analytics-driven initiatives involving large volumes of structured and unstructured data coming from enterprise systems and external sources. Responsibilities included experimentation with multiple statistical and machine learning approaches to surface hidden patterns, trends, and anomalies relevant for business stakeholders.
Supported cross-functional teams during peak business cycles.

Education
Completed MTech AI from a recognized institution with a focus on continuous learning.

Additional Information
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning, NLP, Data Analysis",MTech AI,5.75
6,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Sep 2018 and Jun 2021, responsibilities spanned across various projects and operational activities.
Collaborated closely with product and QA teams to deliver features incrementally, handle change requests, and maintain documentation related to system behavior and architecture.

Participated in design discussions and contributed to implementation of business logic across multiple services. Work involved debugging production issues, improving performance, and ensuring reliability of deployed systems.

Participated in discussions around process improvements and operational efficiency.

Project Exposure
Participated in design discussions and contributed to implementation of business logic across multiple services. Work involved debugging production issues, improving performance, and ensuring reliability of deployed systems.
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.

Education
Completed MCA from a recognized institution with a focus on continuous learning.

Additional Information
Worked in fast-paced environments with shifting priorities and changing requirements.",Software Engineer,"Java, Python, C++, DBMS, Web Programming, APIs",MCA,2.75
7,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Nov 2016 and Jan 2019, responsibilities spanned across various projects and operational activities.
Worked on analyzing performance of digital content across multiple platforms including social media and web channels. Responsibilities included tracking engagement metrics and content reach over time.

Supported campaign performance evaluation by analyzing trends and preparing summaries for marketing and media teams. Work involved understanding audience behavior and content effectiveness.

Worked in fast-paced environments with shifting priorities and changing requirements.

Project Exposure
Collaborated with creative and strategy teams to provide insights that informed future content planning and optimization efforts.
Participated in discussions around process improvements and operational efficiency.

Education
Completed MA Media Studies from a recognized institution with a focus on continuous learning.

Additional Information
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media, Media Analytics",MA Media Studies,2.17
8,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Oct 2015 and Aug 2020, responsibilities spanned across various projects and operational activities.
Reviewed sales performance data across regions and product lines to identify trends and opportunities. Assisted leadership teams by preparing structured summaries and dashboards.

Reviewed sales performance data across regions and product lines to identify trends and opportunities. Assisted leadership teams by preparing structured summaries and dashboards.

Supported cross-functional teams during peak business cycles.

Project Exposure
Supported sales forecasting and planning activities by working with historical data and CRM-generated reports.
Participated in discussions around process improvements and operational efficiency.

Education
Completed BBA from a recognized institution with a focus on continuous learning.

Additional Information
In addition to core responsibilities, handled documentation and internal knowledge sharing activities.",Sales Analyst,"Excel, Sales Analytics, CRM, SQL, Reporting",BBA,4.83
9,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Feb 2018 and Apr 2022, responsibilities spanned across various projects and operational activities.
Developed and maintained backend components for internal and customer-facing applications. Responsibilities included working with databases, implementing APIs, and ensuring system stability under varying load conditions.

Developed and maintained backend components for internal and customer-facing applications. Responsibilities included working with databases, implementing APIs, and ensuring system stability under varying load conditions.

Participated in discussions around process improvements and operational efficiency.

Project Exposure
Collaborated closely with product and QA teams to deliver features incrementally, handle change requests, and maintain documentation related to system behavior and architecture.
Participated in discussions around process improvements and operational efficiency.

Education
Completed MCA from a recognized institution with a focus on continuous learning.

Additional Information
Participated in discussions around process improvements and operational efficiency.",Software Engineer,"Java, Python, C++, DBMS, Web Programming, APIs",MCA,4.17
10,"Professional Summary
Experience includes working across multiple initiatives involving analysis, coordination, and execution of tasks in dynamic business environments.

Work Experience
Between Apr 2017 and Sep 2020, responsibilities spanned across various projects and operational activities.
Contributed to multiple analytics projects such as text-based analysis, customer behavior understanding, and forecasting use cases. Work required close collaboration with domain experts to translate abstract findings into actionable recommendations.

Involved in end-to-end analytical workflows starting from raw data ingestion, cleaning, transformation, feature engineering, model experimentation, evaluation, and reporting of outcomes to senior teams. Focused heavily on understanding precision, recall, and stability of analytical outputs over time.

Supported cross-functional teams during peak business cycles.

Project Exposure
Contributed to multiple analytics projects such as text-based analysis, customer behavior understanding, and forecasting use cases. Work required close collaboration with domain experts to translate abstract findings into actionable recommendations.
Worked in fast-paced environments with shifting priorities and changing requirements.

Education
Completed MSc Analytics from a recognized institution with a focus on continuous learning.

Additional Information
Supported cross-functional teams during peak business cycles.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning, NLP, Data Analysis",MSc Analytics,3.42
