contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","July 20, 2018","July 01, 2018",Until Terminated,"Texas, United States",NOT FOUND,NOT FOUND,Yes | Scope: Non-Competition,"Kiromic, Inc | Gianluca Rotino",Yes | Notice: Not specified | Initiating Party: Either Consultant or Company
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT","October 31, 2019","October 31, 2019","5-Year Initial Term, Auto-Renewal","Delaware, United States",NOT FOUND,"Yes | Exceptions: Gross Negligence, Confidentiality Breach, Indemnification obligations",NOT FOUND,"Premier Nutrition Company, LLC | Fonterra (USA) Inc",NOT FOUND
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"December 17, 2018","December 17, 2018",1-Year Initial Term,China,NOT FOUND,"Yes | Excludes: Punitive, Indirect damages | Cap: the losses caused by damage to Party B's computer system or mobile phone system  | Exceptions: Confidentiality Breach",Yes | Scope: Non-Competition,"Hunan Ruixi Financial Leasing Co., Ltd | Didi Chuxing Technology Co., Ltd",Yes | Notice: 15 days | Either Party
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,"June 02, 2010","June 02, 2010",Until Completion of Program/Milestones,NOT FOUND,IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits damages | Exceptions: Confidentiality Breach, Indemnification obligations",Yes | Scope: Non-Competition,"Green Cross Corp | MacroGenics, Inc",NOT FOUND
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,NOT FOUND,NOT FOUND,3-Year Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits damages | Cap: refund of money paid to Lucid for any undelivered products",NOT FOUND,Lucid Inc,Yes | Notice: Not specified | Either Party
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,"April 06, 2007",NOT FOUND,Until Terminated,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect damages",NOT FOUND,"Chase Bank USA, N.A.",Yes | Notice: Immediate | Initiating Party: Either Affiliate or Chase | Without Cause
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT,NOT FOUND,NOT FOUND,Perpetual,"Washington, United States",NOT FOUND,NOT FOUND,NOT FOUND,INKTOMI CORPORATION | MICROSOFT CORPORATION,Yes | Notice: Immediate | Initiating Party: Microsoft | Without Cause
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT","April 08, 2020",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"SCULPTOR MANAGEMENT, INC | SCULPTOR CAPITAL LP | SCULPTOR CAPITAL HOLDING CORPORATION | SCULPTOR MASTER FUND LTD",NOT FOUND
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,"October 29, 2015",NOT FOUND,NOT FOUND,Taiwan,NOT FOUND,NOT FOUND,NOT FOUND,Chang Chen- Bin Architects Office,NOT FOUND
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,NOT FOUND,NOT FOUND,20-Year Initial Term,NOT FOUND,IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect damages | Cap: RECOVERY OF ANY ACTUAL DAMAGES IT SUSTAINS | Exceptions: Gross Negligence, Indemnification obligations",NOT FOUND,"Pretzel Time, Inc",Yes | Notice: Not specified
