resume_id,unstructured_text,job_role,skills,education,experience_years
1,"Operational Exposure
Analyzed regional and product-level sales performance. Analyzed regional and product-level sales performance. Handled multiple responsibilities beyond core deliverables.

Other Information
Completed BBA from a recognized institution, along with ongoing self-driven learning and skill development.

Key Responsibilities
Contributed to documentation and internal knowledge sharing. Supported cross-functional teams during peak business periods.

Key Responsibilities
Work also involved scenarios where priorities shifted frequently. contributed to documentation and internal knowledge sharing. worked in fast-paced environments with changing priorities.

Background
Between Apr 2013 and Sep 2017, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I responded to ad-hoc sales data requests. handled multiple responsibilities beyond core deliverables.",Sales Analyst,"Excel, Sales Analytics, CRM, SQL, Reporting",BBA,4.42
2,"Project Work
Between Jan 2022 and Jul 2023, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I tracked audience engagement and campaign effectiveness metrics. contributed to documentation and internal knowledge sharing.

Project Work
Completed MA Media Studies from a recognized institution, along with ongoing self-driven learning and skill development.

Additional Contributions
Analyzed digital content performance across multiple platforms. Analyzed digital content performance across multiple platforms. Participated in process improvement discussions.

Background
Work also involved scenarios where priorities shifted frequently. handled ad-hoc requests alongside planned work. handled ad-hoc requests alongside planned work.

Experience Overview
Participated in process improvement discussions. Handled ad-hoc requests alongside planned work.",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media, Media Analytics",MA Media Studies,1.5
3,"Project Work
Work also involved scenarios where priorities shifted frequently. collaborated with geographically distributed teams. handled ad-hoc requests alongside planned work.

Professional Summary
Between Mar 2019 and Nov 2023, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I supported budgeting, forecasting and variance analysis. adapted to evolving business requirements and constraints.

Additional Contributions
Contributed to documentation and internal knowledge sharing. Handled multiple responsibilities beyond core deliverables.

Experience Overview
Completed BCom from a recognized institution, along with ongoing self-driven learning and skill development.

Background
Supported budgeting, forecasting and variance analysis. Analyzed financial transactions and audit-related datasets. Participated in process improvement discussions.",Finance Analyst,"Excel, Accounting, Financial Modeling, SQL, Reporting",BCom,4.67
4,"Operational Exposure
Completed BCom from a recognized institution, along with ongoing self-driven learning and skill development.

Education Details
Between Apr 2020 and Jun 2022, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I prepared summaries for leadership and planning meetings. adapted to evolving business requirements and constraints.

Key Responsibilities
Work also involved scenarios where priorities shifted frequently. worked in fast-paced environments with changing priorities. handled ad-hoc requests alongside planned work.

Experience Overview
Contributed to documentation and internal knowledge sharing. Supported cross-functional teams during peak business periods.

Other Information
Supported sales forecasting and pipeline analysis. Worked with crm-generated reports and dashboards. Worked in fast-paced environments with changing priorities.",Sales Analyst,"Excel, Sales Analytics, CRM, SQL, Reporting",BCom,2.17
5,"Experience Overview
Between Aug 2018 and May 2024, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I worked with databases and messaging systems to support core workflows. adapted to evolving business requirements and constraints.

Operational Exposure
Collaborated on system design and architectural discussions. Handled production issues, debugging, and performance optimization. Handled ad-hoc requests alongside planned work.

Key Responsibilities
Work also involved scenarios where priorities shifted frequently. supported cross-functional teams during peak business periods. collaborated with geographically distributed teams.

Background
Completed MTech Software from a recognized institution, along with ongoing self-driven learning and skill development.

Education Details
Supported cross-functional teams during peak business periods. Adapted to evolving business requirements and constraints.",Software Engineer,"Java, Python, C++, DBMS, Web Programming, APIs, System Design, Microservices",MTech Software,5.75
6,"Experience Overview
Completed MBA Sales from a recognized institution, along with ongoing self-driven learning and skill development.

Other Information
Between Sep 2019 and Oct 2021, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I worked with CRM-generated reports and dashboards. worked in fast-paced environments with changing priorities.

Background
Responded to ad-hoc sales data requests. Worked with crm-generated reports and dashboards. Handled ad-hoc requests alongside planned work.

Operational Exposure
Participated in process improvement discussions. Collaborated with geographically distributed teams.

Background
Work also involved scenarios where priorities shifted frequently. adapted to evolving business requirements and constraints. participated in process improvement discussions.",Sales Analyst,"Excel, Sales Analytics, CRM, SQL, Reporting",MBA Sales,2.08
7,"Additional Contributions
Prepared reports on reach, impressions and engagement trends. Analyzed digital content performance across multiple platforms. Handled multiple responsibilities beyond core deliverables.

Professional Summary
Completed BA Journalism from a recognized institution, along with ongoing self-driven learning and skill development.

Additional Contributions
Work also involved scenarios where priorities shifted frequently. adapted to evolving business requirements and constraints. contributed to documentation and internal knowledge sharing.

Project Work
Contributed to documentation and internal knowledge sharing. Supported cross-functional teams during peak business periods.

Additional Contributions
Between Sep 2018 and Apr 2021, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I tracked audience engagement and campaign effectiveness metrics. worked in fast-paced environments with changing priorities.",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media, Media Analytics",BA Journalism,2.58
8,"Project Work
Between Aug 2021 and May 2024, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I performed feature engineering and model tuning across several iterations. participated in process improvement discussions.

Key Responsibilities
Performed feature engineering and model tuning across several iterations. Experimented with multiple classification and clustering techniques on unstructured datasets. Adapted to evolving business requirements and constraints.

Other Information
Completed BTech CSE from a recognized institution, along with ongoing self-driven learning and skill development.

Experience Overview
Collaborated with geographically distributed teams. Supported cross-functional teams during peak business periods.

Operational Exposure
Work also involved scenarios where priorities shifted frequently. handled ad-hoc requests alongside planned work. collaborated with geographically distributed teams.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning, NLP, Topic Modeling, Sentiment Analysis, Data Visualization",BTech CSE,2.75
9,"Other Information
Contributed to documentation and internal knowledge sharing. Contributed to documentation and internal knowledge sharing.

Background
Work also involved scenarios where priorities shifted frequently. contributed to documentation and internal knowledge sharing. adapted to evolving business requirements and constraints.

Key Responsibilities
Worked on predictive coding and large-scale text analytics initiatives. Worked on predictive coding and large-scale text analytics initiatives. Handled ad-hoc requests alongside planned work.

Education Details
Completed MTech AI from a recognized institution, along with ongoing self-driven learning and skill development.

Professional Summary
Between Mar 2013 and Mar 2021, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I worked on predictive coding and large-scale text analytics initiatives. worked in fast-paced environments with changing priorities.",Data Scientist,"Python, SQL, Pandas, NumPy, Machine Learning, NLP, Topic Modeling, Sentiment Analysis, Data Visualization",MTech AI,8.0
10,"Operational Exposure
Handled production issues, debugging, and performance optimization. Designed and implemented backend services for enterprise applications. Handled multiple responsibilities beyond core deliverables.

Professional Summary
Work also involved scenarios where priorities shifted frequently. participated in process improvement discussions. handled ad-hoc requests alongside planned work.

Key Responsibilities
Handled multiple responsibilities beyond core deliverables. Handled multiple responsibilities beyond core deliverables.

Background
Completed MCA from a recognized institution, along with ongoing self-driven learning and skill development.

Operational Exposure
Between Jan 2022 and Dec 2027, responsibilities included a combination of analytical, operational, and coordination tasks. During this period, I built and maintained REST APIs used by multiple internal systems. participated in process improvement discussions.",Software Engineer,"Java, Python, C++, DBMS, Web Programming, APIs, System Design, Microservices",MCA,5.92
