resume_id,unstructured_text,job_role,skills,education,experience_years
1,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Jun 2018 and Dec 2019, responsibilities included:
- screened profiles and coordinated interview cycles
- supported ad-hoc requests during peak business cycles
- managed hiring pipelines across multiple departments

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
experienced working in fast-paced and ambiguous environments

Education
Completed BA Psychology from a recognized institution.

Additional Notes
supported ad-hoc requests during peak business cycles",HR Executive,"Recruitment, Communication, Onboarding, Excel",BA Psychology,1.5
2,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Nov 2021 and Sep 2026, responsibilities included:
- optimized application performance and stability
- worked on multiple short-term initiatives alongside core responsibilities
- implemented APIs consumed by multiple internal tools

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
experienced working in fast-paced and ambiguous environments

Education
Completed BTech CSE from a recognized institution.

Additional Notes
handled cross-functional coordination with different teams",Software Engineer,"Java, Python, C++, DBMS, Web Programming",BTech CSE,4.83
3,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Jan 2021 and Jun 2024, responsibilities included:
- handled onboarding documentation and compliance
- supported ad-hoc requests during peak business cycles
- managed hiring pipelines across multiple departments

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
supported ad-hoc requests during peak business cycles

Education
Completed MBA HR from a recognized institution.

Additional Notes
involved in documentation and internal knowledge sharing",HR Executive,"Recruitment, Communication, Onboarding, Excel",MBA HR,3.42
4,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Jan 2016 and Aug 2017, responsibilities included:
- supported campaign optimization using analytics
- experienced working in fast-paced and ambiguous environments
- analyzed audience engagement across digital platforms

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
experienced working in fast-paced and ambiguous environments

Education
Completed BMM from a recognized institution.

Additional Notes
involved in documentation and internal knowledge sharing",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",BMM,1.58
5,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Mar 2021 and Mar 2022, responsibilities included:
- worked with databases and service orchestration
- handled cross-functional coordination with different teams
- optimized application performance and stability

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
involved in documentation and internal knowledge sharing

Education
Completed MTech Software from a recognized institution.

Additional Notes
worked on multiple short-term initiatives alongside core responsibilities",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MTech Software,1.0
6,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Oct 2018 and Mar 2021, responsibilities included:
- worked on predictive systems to flag anomalies in large text collections
- experienced working in fast-paced and ambiguous environments
- performed experimentation with classification and clustering approaches on unstructured data

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
involved in documentation and internal knowledge sharing

Education
Completed BTech CSE from a recognized institution.

Additional Notes
involved in documentation and internal knowledge sharing",Data Scientist,"Python, SQL, Machine Learning, NLP, Pandas, NumPy",BTech CSE,2.42
7,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Apr 2017 and Mar 2019, responsibilities included:
- developed backend services supporting high traffic applications
- worked on multiple short-term initiatives alongside core responsibilities
- implemented APIs consumed by multiple internal tools

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
involved in documentation and internal knowledge sharing

Education
Completed MCA from a recognized institution.

Additional Notes
supported ad-hoc requests during peak business cycles",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MCA,1.92
8,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Apr 2021 and Jun 2022, responsibilities included:
- worked on audit and compliance reporting
- supported ad-hoc requests during peak business cycles
- reviewed transactional data for inconsistencies

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
experienced working in fast-paced and ambiguous environments

Education
Completed MBA Finance from a recognized institution.

Additional Notes
worked on multiple short-term initiatives alongside core responsibilities",Finance Analyst,"Excel, Accounting, Financial Modeling, SQL",MBA Finance,1.17
9,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Jun 2017 and Jul 2019, responsibilities included:
- worked on audit and compliance reporting
- handled cross-functional coordination with different teams
- reviewed transactional data for inconsistencies

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
worked on multiple short-term initiatives alongside core responsibilities

Education
Completed MBA Finance from a recognized institution.

Additional Notes
handled cross-functional coordination with different teams",Finance Analyst,"Excel, Accounting, Financial Modeling, SQL",MBA Finance,2.08
10,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Mar 2019 and Jun 2023, responsibilities included:
- developed backend services supporting high traffic applications
- supported ad-hoc requests during peak business cycles
- optimized application performance and stability

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
experienced working in fast-paced and ambiguous environments

Education
Completed MTech Software from a recognized institution.

Additional Notes
worked on multiple short-term initiatives alongside core responsibilities",Software Engineer,"Java, Python, C++, DBMS, Web Programming",MTech Software,4.25
11,"Background
Started career with exposure to operational and analytical responsibilities.

Professional Experience
Between Apr 2019 and Oct 2023, responsibilities included:
- tracked content performance metrics over time
- worked on multiple short-term initiatives alongside core responsibilities
- analyzed audience engagement across digital platforms

Project & Work Highlights
Contributed to initiatives involving reporting, analysis, and system improvements.
experienced working in fast-paced and ambiguous environments

Education
Completed BMM from a recognized institution.

Additional Notes
experienced working in fast-paced and ambiguous environments",Media Analyst,"SEO, Google Analytics, Content Strategy, Social Media",BMM,4.5
