contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,"October 01, 2019","November 01, 2019","December 28, 2020",Israel,Yes | Explicit indemnification / defense / hold harmless obligations,NOT FOUND,NOT FOUND,"Ability Computer & Software Industries Ltd | TELCOSTAR PTE, LTD",Yes | Notice: 90 days | Either Party | Without Cause
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,"June 08, 2010","June 08, 2010",Co-terminous with Related Agreement,Germany,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Lost Profits | Exceptions: Willful Misconduct, Confidentiality Breach, IP Infringement",NOT FOUND,ACCURAY INCORPORATED | SIEMENS AKTIENGESELLSCHAFT,NOT FOUND
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"January 13, 2005",NOT FOUND,Event-Based Termination,"Kansas, United States",Yes | Explicit indemnification / defense / hold harmless obligations,NOT FOUND,"Yes | Restricted Party: Consultant | Duration: during the term | Scope: Non-Competition, Non-Endorsement","ADAMS GOLF, LTD | TOM WATSON",NOT FOUND
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"May 25, 1999","May 25, 1999",Event-Based Termination,"Nevada, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Agency | Duration: for a two-year period following | Scope: Exclusivity, Competitive Products Restriction","Mutual Insurance Corporation of America | Stratton, Cheeseman & Walsh-Nevada, Inc",NOT FOUND
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,"August 09, 1999",NOT FOUND,1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Hanover Direct, Inc",NOT FOUND
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,"April 14, 2020","April 14, 2020",Until Completion of Program/Milestones,"Delaware, United States",Yes | Explicit indemnification / defense / hold harmless obligations,NOT FOUND,NOT FOUND,"Anixa Biosciences, Inc | OntoChem GmbH",Yes | Notice: 30 days | Without Cause
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,"NOT FOUND (2012, day/month blank",NOT FOUND,Until Terminated,"Minnesota, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Redwater LLC | Twin Cities Power Holdings, LLC",Yes | Notice: 60 days | Without Cause
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"May 20, 1992",NOT FOUND,10-Year (120 months) Initial Term,"Arkansas, United States",NOT FOUND,NOT FOUND,NOT FOUND,Arkansas Western Pipeline Company | Associated Natural Gas Company,NOT FOUND
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,"February 04, 2020","February 04, 2020",Until Completion of Program/Milestones,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits | Exceptions: Confidentiality Breach, Indemnification",Yes | Duration: during the term | Scope: Competitive Products Restriction,"Aimmune Therapeutics, Inc | Xencor, Inc",Yes | Notice: 60 days
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,"February 01, 2018","February 01, 2018",3-Year (36 months) Initial Term,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Indirect, Lost Profits | Exceptions: Willful Misconduct, Gross Negligence, Fraud, Confidentiality Breach, Indemnification","Yes | Duration: during the term | Scope: Exclusivity, Non-Competition","WPT Enterprises, Inc | ZYNGA GAME IRELAND LIMITED | ZYNGA INC | Zynga US",NOT FOUND
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,"February 01, 2019","February 01, 2019","January 28, 2024","California, United States",Trademark Non-Disparagement Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits",NOT FOUND,"Allied Esports International, Inc | Newegg Inc",Yes | Notice: 60 days | Either Party | Without Cause
"Antares Pharma, Inc. - Manufacturing Agreement","March 20, 2018","March 20, 2018",Co-terminous with Related Agreement,"New York, United States",NOT FOUND,Yes | Exceptions: Willful Misconduct,Yes | Restricted Party: Either Party | Duration: during the term | Scope: Exclusivity,"AMAG Pharmaceuticals, Inc | Antares Pharma, Inc",NOT FOUND
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,"November 27, 2017","April 01, 2018","February 28, 2023",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Jacksonville Jaguars, LLC | The ARC Group, Inc",NOT FOUND
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,"July 31, 2019","July 31, 2019",Co-terminous with Related Agreement,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive | Exceptions: Confidentiality Breach, IP Infringement, Indemnification",NOT FOUND,"AT&T Mobility LLC | Commnet Wireless, LLC",NOT FOUND
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,"March 09, 2015",NOT FOUND,Event-Based Termination,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,AVIONS DE TRANSPORT REGIONAL | AZUL LINHAS AÉREAS BRASILEIRAS S/A,Yes | Without Cause
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,"January 06, 2016","January 06, 2016",Until Terminated,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"AVIONS DE TRANSPORT REGIONAL, G.I.E | AZUL LINHAS AÉREAS BRASILEIRAS S/A",NOT FOUND
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,"March 01, 2005","March 01, 2005","February 28, 2006",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","March 27, 2019","March 27, 2019",10-Year (120 months) Initial Term,"New York, United States",Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Willful Misconduct, Gross Negligence, Confidentiality Breach, IP Infringement",NOT FOUND,"Bellicum Pharmaceuticals, Inc | Miltenyi Biotec GmbH",Yes | Notice: 90 days | Without Cause
